file,session_id,max_same_tool_count,max_same_tool,total_tool_calls_in_session,distinct_tools_in_session,has_tool_availability_language,has_action_validity_constraint,has_direct_tool_permission_language,has_explicit_permission_language,has_explicit_permission_language_near_tool_context,tool_counts_json
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_46,7,go,13,5,True,True,False,False,False,"{""go"":7,""open"":3,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_47,5,go,12,5,True,True,False,False,False,"{""go"":5,""open"":4,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_48,2,go,4,3,True,True,False,False,False,"{""go"":2,""take"":1,""heat"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_49,4,go,8,5,True,True,False,False,False,"{""go"":4,""open"":1,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_50,7,go,19,6,True,True,False,False,False,"{""go"":7,""open"":5,""close"":4,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_51,14,go,26,4,True,True,False,False,False,"{""go"":14,""open"":10,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_52,4,go,10,5,True,True,False,False,False,"{""go"":4,""open"":3,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_53,20,go,35,6,True,True,False,False,False,"{""go"":20,""open"":8,""take"":2,""put"":2,""end"":2,""examine"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_54,3,go,8,5,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_55,4,go,9,4,True,True,False,False,False,"{""go"":4,""take"":2,""put"":2,""open"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_56,19,go,32,4,True,True,False,False,False,"{""go"":19,""open"":9,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_57,5,go,10,6,True,True,False,False,False,"{""go"":5,""open"":1,""close"":1,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_58,3,go,6,4,True,True,False,False,False,"{""go"":3,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_59,1,go,4,4,True,True,False,False,False,"{""go"":1,""use"":1,""examine"":1,""take"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_60,3,go,7,5,True,True,False,False,False,"{""go"":3,""open"":1,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_61,8,go,15,4,True,True,False,False,False,"{""go"":8,""open"":5,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_62,4,go,7,4,True,True,False,False,False,"{""go"":4,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_63,10,go,22,5,True,True,False,False,False,"{""go"":10,""open"":9,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_64,4,go,7,4,True,True,False,False,False,"{""go"":4,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_65,19,go,21,3,True,True,False,False,False,"{""go"":19,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_66,3,go,6,4,True,True,False,False,False,"{""go"":3,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_67,11,go,32,12,True,True,False,False,False,"{""go"":11,""open"":4,""take"":4,""look"":2,""end"":2,""unable"":2,""put"":2,""examine"":1,""the"":1,""inventory"":1,""communicate"":1,""close"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_68,5,go,10,5,True,True,False,False,False,"{""go"":5,""open"":2,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_69,3,go,8,5,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_70,13,go,24,5,True,True,False,False,False,"{""go"":13,""open"":8,""look"":1,""take"":1,""heat"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_71,15,go,30,5,True,True,False,False,False,"{""go"":15,""open"":12,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_72,6,go,10,3,True,True,False,False,False,"{""go"":6,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_73,13,go,33,6,True,True,False,False,False,"{""go"":13,""open"":9,""close"":8,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_74,4,go,8,3,True,True,False,False,False,"{""go"":4,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_75,17,go,35,7,True,True,False,False,False,"{""go"":17,""open"":13,""inventory"":1,""look"":1,""end"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_76,2,go,5,4,True,True,False,False,False,"{""go"":2,""look"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_77,3,go,7,5,True,True,False,False,False,"{""go"":3,""take"":1,""cool"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_78,4,go,8,3,True,True,False,False,False,"{""go"":4,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_79,2,go,4,3,True,True,False,False,False,"{""go"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_80,3,go,7,5,True,True,False,False,False,"{""go"":3,""open"":1,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_81,10,go,20,5,True,True,False,False,False,"{""go"":10,""take"":4,""open"":2,""examine"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_82,21,go,34,4,True,True,False,False,False,"{""go"":21,""open"":11,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_83,3,go,6,4,True,True,False,False,False,"{""go"":3,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_84,3,go,7,4,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_85,6,go,8,3,True,True,False,False,False,"{""go"":6,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_86,4,go,8,3,True,True,False,False,False,"{""go"":4,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_87,1,go,3,3,True,True,False,False,False,"{""go"":1,""take"":1,""use"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_88,7,go,10,4,True,True,False,False,False,"{""go"":7,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_89,5,go,11,6,True,True,False,False,False,"{""go"":5,""open"":2,""close"":1,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_90,7,go,16,7,True,True,False,False,False,"{""go"":7,""examine"":4,""inventory"":1,""take"":1,""clean"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_91,3,go,6,4,True,True,False,False,False,"{""go"":3,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_92,9,go,27,7,True,True,False,False,False,"{""go"":9,""take"":5,""put"":5,""open"":4,""task"":2,""examine"":1,""inventory"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_93,5,go,9,5,True,True,False,False,False,"{""go"":5,""take"":1,""heat"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_94,13,go,24,6,True,True,False,False,False,"{""go"":13,""open"":6,""task"":2,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_95,5,go,8,4,True,True,False,False,False,"{""go"":5,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_96,6,go,12,4,True,True,False,False,False,"{""go"":6,""open"":4,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_97,6,go,11,5,True,True,False,False,False,"{""go"":6,""open"":2,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_98,11,go,22,5,True,True,False,False,False,"{""go"":11,""open"":6,""take"":2,""put"":2,""examine"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_99,4,go,6,3,True,True,False,False,False,"{""go"":4,""use"":1,""look"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_100,4,go,10,4,True,True,False,False,False,"{""go"":4,""open"":2,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_101,6,go,12,5,True,True,False,False,False,"{""go"":6,""open"":3,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_102,15,go,30,6,True,True,False,False,False,"{""go"":15,""open"":11,""inventory"":1,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_103,13,go,23,4,True,True,False,False,False,"{""go"":13,""open"":6,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_104,3,go,8,6,True,True,False,False,False,"{""go"":3,""inventory"":1,""open"":1,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_105,16,go,29,5,True,True,False,False,False,"{""go"":16,""open"":10,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_106,4,go,9,5,True,True,False,False,False,"{""go"":4,""open"":2,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_107,4,go,10,6,True,True,False,False,False,"{""go"":4,""open"":2,""inventory"":1,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_108,5,go,10,5,True,True,False,False,False,"{""go"":5,""open"":2,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_109,9,go,25,6,True,True,False,False,False,"{""go"":9,""take"":6,""put"":6,""task"":2,""examine"":1,""inventory"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_110,6,go,11,5,True,True,False,False,False,"{""go"":6,""open"":2,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_111,14,go,27,7,True,True,False,False,False,"{""go"":14,""open"":5,""examine"":3,""heat"":2,""inventory"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_112,8,go,19,5,True,True,False,False,False,"{""go"":8,""open"":8,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_113,4,go,9,6,True,True,False,False,False,"{""go"":4,""open"":1,""close"":1,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_114,7,go,14,5,True,True,False,False,False,"{""go"":7,""open"":4,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_115,8,go,19,6,True,True,False,False,False,"{""go"":8,""open"":4,""close"":4,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_116,14,go,30,5,True,True,False,False,False,"{""go"":14,""open"":13,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_117,3,go,7,5,True,True,False,False,False,"{""go"":3,""take"":1,""heat"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_118,12,go,15,4,True,True,False,False,False,"{""go"":12,""open"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_119,7,go,9,3,True,True,False,False,False,"{""go"":7,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_120,4,go,8,5,True,True,False,False,False,"{""go"":4,""inventory"":1,""take"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_121,2,go,4,3,True,True,False,False,False,"{""go"":2,""use"":1,""examine"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_122,4,go,10,5,True,True,False,False,False,"{""go"":4,""open"":3,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_123,4,go,7,4,True,True,False,False,False,"{""go"":4,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_124,3,go,7,5,True,True,False,False,False,"{""go"":3,""take"":1,""open"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_125,1,go,3,3,True,True,False,False,False,"{""go"":1,""take"":1,""use"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_126,3,go,6,4,True,True,False,False,False,"{""go"":3,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_127,9,go,12,4,True,True,False,False,False,"{""go"":9,""look"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_128,3,go,8,6,True,True,False,False,False,"{""go"":3,""inventory"":1,""take"":1,""clean"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_129,7,go,14,5,True,True,False,False,False,"{""go"":7,""examine"":3,""open"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_130,10,go,23,4,True,True,False,False,False,"{""go"":10,""open"":7,""take"":4,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_131,8,go,18,5,True,True,False,False,False,"{""go"":8,""take"":4,""put"":4,""look"":1,""inventory"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_132,20,go,35,5,True,True,False,False,False,"{""go"":20,""open"":12,""examine"":1,""take"":1,""use"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_133,21,go,35,4,True,True,False,False,False,"{""go"":21,""open"":10,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_134,3,go,7,4,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""cool"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_135,4,go,8,3,True,True,False,False,False,"{""go"":4,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_136,7,go,15,5,True,True,False,False,False,"{""go"":7,""open"":5,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_137,3,go,6,4,True,True,False,False,False,"{""go"":3,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_138,6,go,10,3,True,True,False,False,False,"{""go"":6,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_139,7,go,13,6,True,True,False,False,False,"{""go"":7,""open"":2,""examine"":1,""look"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_140,10,go,18,4,True,True,False,False,False,"{""go"":10,""open"":4,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_141,9,go,25,6,True,True,False,False,False,"{""go"":9,""put"":8,""take"":4,""examine"":2,""task"":1,""inventory"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_142,2,go,4,3,True,True,False,False,False,"{""go"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_143,6,go,13,5,True,True,False,False,False,"{""go"":6,""open"":4,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_144,3,go,7,5,True,True,False,False,False,"{""go"":3,""take"":1,""heat"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_145,10,go,19,5,True,True,False,False,False,"{""go"":10,""open"":6,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_146,11,go,23,4,True,True,False,False,False,"{""go"":11,""open"":10,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_147,7,go,13,4,True,True,False,False,False,"{""go"":7,""open"":4,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_148,10,go,16,6,True,True,False,False,False,"{""go"":10,""open"":2,""examine"":1,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_149,5,go,9,3,True,True,False,False,False,"{""go"":5,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_150,3,go,8,5,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_151,18,go,33,6,True,True,False,False,False,"{""go"":18,""open"":8,""take"":2,""heat"":2,""put"":2,""task"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_152,11,go,22,5,True,True,False,False,False,"{""go"":11,""open"":8,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_153,10,go,20,4,True,True,False,False,False,"{""go"":10,""open"":4,""take"":4,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_154,9,go,16,5,True,True,False,False,False,"{""go"":9,""open"":4,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_155,4,go,8,3,True,True,False,False,False,"{""go"":4,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_156,6,go,10,3,True,True,False,False,False,"{""go"":6,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_157,8,go,12,4,True,True,False,False,False,"{""go"":8,""open"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_158,2,go,4,3,True,True,False,False,False,"{""go"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_159,18,go,30,4,True,True,False,False,False,"{""go"":18,""open"":10,""take"":1,""use"":1}"
